date,zldj,aqi,pm25,pm10,so2,no2,co,o3
2022-02-01,优,21,6,11,2,8,0.25,63
2022-02-02,优,22,12,18,2,13,0.33,55
2022-02-03,优,21,7,13,2,9,0.27,63
2022-02-04,优,23,5,9,2,4,0.2,72
2022-02-05,优,22,7,13,1,7,0.23,69
2022-02-06,优,22,8,15,2,10,0.26,64
2022-02-07,优,22,10,20,2,16,0.36,54
2022-02-08,优,26,14,25,2,22,0.43,47
2022-02-09,良,53,37,54,3,35,0.69,37
2022-02-10,良,75,55,79,3,36,0.76,46
2022-02-11,良,69,50,74,3,29,0.66,53
2022-02-12,良,56,35,62,3,20,0.63,49
2022-02-13,良,68,49,70,2,21,0.76,37
2022-02-14,优,27,13,18,2,10,0.32,65
2022-02-15,优,22,13,19,2,13,0.32,61
2022-02-16,优,23,13,20,2,14,0.3,61
2022-02-17,优,37,25,36,2,24,0.47,51
2022-02-18,良,51,34,45,2,21,0.44,49
2022-02-19,优,22,8,15,2,6,0.23,70
2022-02-20,优,21,8,20,2,12,0.29,59
2022-02-21,优,22,8,19,2,9,0.25,64
2022-02-22,优,22,10,18,2,10,0.27,64
2022-02-23,优,26,14,26,2,25,0.41,45
2022-02-24,优,40,23,43,3,33,0.52,39
2022-02-25,良,84,61,101,4,48,0.8,38
2022-02-26,优,30,10,23,2,15,0.28,66
2022-02-27,优,47,20,51,3,37,0.5,38
2022-02-28,良,78,53,105,6,44,0.8,42
2022-04-01,优,30,12,30,2,22,0.25,58
2022-04-02,优,36,13,30,2,19,0.28,62
2022-04-03,良,52,21,58,2,24,0.33,70
2022-04-04,良,92,67,119,3,26,0.54,96
2022-04-05,良,87,46,111,2,22,0.45,81
2022-04-06,良,59,11,67,2,14,0.33,70
2022-04-07,良,63,26,77,2,33,0.38,53
2022-04-08,轻度污染,117,87,161,5,35,1.03,101
2022-04-09,轻度污染,122,91,163,3,28,0.87,118
2022-04-10,轻度污染,125,94,169,4,29,1.1,120
2022-04-11,轻度污染,118,64,179,2,29,0.73,81
2022-04-12,良,69,13,87,2,11,0.24,83
2022-04-13,良,56,28,63,2,17,0.39,88
2022-04-14,优,34,11,29,2,16,0.24,69
2022-04-15,优,29,9,22,2,10,0.2,80
2022-04-16,优,37,12,35,2,20,0.23,66
2022-04-17,良,69,39,87,2,37,0.4,56
2022-04-18,良,79,57,104,3,31,0.58,88
2022-04-19,良,74,50,88,2,30,0.45,87
2022-04-20,良,70,38,88,3,24,0.43,105
2022-04-21,良,84,33,118,2,15,0.36,88
2022-04-22,优,38,10,38,2,9,0.21,86
2022-04-23,良,74,35,98,3,25,0.46,83
2022-04-24,良,94,51,138,4,28,0.77,111
2022-04-25,良,100,64,151,4,25,1.09,108
2022-04-26,良,73,24,97,2,9,0.34,85
2022-04-27,优,28,8,28,2,10,0.26,66
2022-04-28,优,25,14,22,2,10,0.3,60
2022-04-29,良,59,42,59,2,18,0.39,64
2022-04-30,优,26,4,11,3,8,0.17,77
2022-06-01,优,44,14,36,2,19,0.33,100
2022-06-02,良,78,20,53,3,21,0.37,151
2022-06-03,良,89,34,80,5,22,0.68,172
2022-06-04,优,49,23,46,2,9,0.45,125
2022-06-05,优,37,11,30,2,10,0.28,79
2022-06-06,优,25,2,8,2,6,0.22,81
2022-06-07,优,31,9,27,2,12,0.4,86
2022-06-08,优,48,22,49,3,14,0.68,92
2022-06-09,优,47,24,48,2,16,0.8,77
2022-06-10,良,60,29,64,2,14,0.73,113
2022-06-11,良,51,23,55,2,14,0.6,99
2022-06-12,优,38,17,33,2,10,0.53,99
2022-06-13,优,30,15,28,2,12,0.44,86
2022-06-14,优,36,14,28,2,12,0.48,78
2022-06-15,优,43,21,40,2,13,0.63,94
2022-06-16,良,66,25,54,2,16,0.6,126
2022-06-17,良,78,35,73,2,18,0.85,144
2022-06-18,良,84,34,71,2,12,0.88,161
2022-06-19,良,75,30,62,2,10,0.8,161
2022-06-20,良,85,35,75,2,14,0.85,165
2022-06-21,良,100,59,110,3,19,1.08,159
2022-06-22,良,74,52,77,2,16,0.92,78
2022-06-23,优,41,14,19,2,13,0.44,89
2022-06-24,优,27,4,14,2,17,0.25,85
2022-06-25,良,89,18,54,2,23,0.4,171
2022-06-26,良,58,24,56,3,13,0.61,147
2022-06-27,优,43,25,40,2,10,0.63,97
2022-06-28,优,27,12,19,3,9,0.44,75
2022-06-29,优,22,8,14,3,8,0.37,69
2022-06-30,优,30,13,24,2,12,0.44,80
2022-07-01,优,35,18,27,2,9,0.58,97
2022-07-02,良,57,35,51,2,13,0.73,102
2022-07-03,优,41,23,33,3,10,0.63,103
2022-07-04,优,32,18,24,3,11,0.58,79
2022-07-05,良,56,36,49,2,11,0.59,87
2022-07-06,优,24,8,14,2,9,0.4,75
2022-07-07,优,36,10,24,2,17,0.38,91
2022-07-08,优,45,16,40,2,18,0.44,97
2022-07-09,优,32,10,27,2,19,0.33,63
2022-07-10,优,27,9,18,2,11,0.36,85
2022-07-11,优,37,21,37,2,17,0.5,78
2022-07-12,优,34,14,22,3,10,0.48,79
2022-07-13,优,32,10,21,2,15,0.52,84
2022-07-14,优,35,8,22,3,16,0.3,91
2022-07-15,优,37,9,28,2,20,0.32,92
2022-07-16,良,65,24,55,3,19,0.61,127
2022-07-17,优,45,21,41,2,15,0.44,83
2022-07-18,优,34,7,25,2,16,0.36,88
2022-07-19,优,50,13,41,2,20,0.4,110
2022-07-20,良,59,25,55,2,17,0.5,116
2022-07-21,良,61,19,42,2,15,0.43,131
2022-07-22,良,56,28,57,2,20,0.51,114
2022-07-23,优,31,10,20,2,10,0.35,98
2022-07-24,良,61,23,46,2,16,0.48,117
2022-07-25,优,46,21,43,2,14,0.45,112
2022-07-26,良,52,30,49,2,13,0.5,114
2022-07-27,优,35,18,27,2,10,0.57,87
2022-07-28,优,24,5,9,2,9,0.35,77
2022-07-29,优,34,14,26,2,15,0.43,86
2022-07-30,良,57,35,54,3,12,0.66,107
2022-07-31,优,46,27,43,3,13,0.5,93
2022-08-01,良,63,38,58,3,14,0.56,110
2022-08-02,良,61,41,63,2,15,0.58,107
2022-08-03,良,63,40,59,2,12,0.51,108
2022-08-04,良,55,35,56,2,12,0.57,107
2022-08-05,优,42,16,27,2,11,0.48,109
2022-08-06,优,38,20,36,3,17,0.55,79
2022-08-07,优,43,27,38,3,12,0.6,83
2022-08-08,优,20,8,16,2,13,0.37,56
2022-08-09,优,21,7,16,2,13,0.37,54
2022-08-10,优,33,11,24,2,14,0.38,74
2022-08-11,优,45,18,37,3,13,0.46,93
2022-08-12,良,58,35,59,3,13,0.62,103
2022-08-13,良,66,46,65,2,15,0.82,117
2022-08-14,优,41,28,40,2,13,0.98,60
2022-08-15,优,24,8,14,3,12,0.55,50
2022-08-16,优,26,5,13,2,13,0.35,79
2022-08-17,优,49,26,49,2,14,0.55,94
2022-08-18,优,44,30,42,2,14,0.65,71
2022-08-19,优,26,10,14,3,12,0.44,50
2022-08-20,优,29,10,25,2,17,0.37,74
2022-08-21,良,51,27,52,2,15,0.49,96
