小时,温度,风力方向,风级,降水量,相对湿度,空气质量
14,32.7,南风,3,0,61,
13,31.8,东南风,3,0,72,19
12,31.7,东南风,2,0,71,19
11,31.8,东南风,2,0,72,18
10,31.3,东南风,2,0,74,16
09,30.2,东南风,2,0,75,14
08,29.3,南风,2,0,81,13
07,28.6,东南风,1,0,85,12
06,27.9,东南风,1,0,87,16
05,27.9,东南风,2,0,87,13
04,28.1,东南风,2,0,87,14
03,28.1,东南风,1,0,85,14
02,28.1,东南风,2,0,85,14
01,28.3,东南风,2,0,84,15
00,28.5,东南风,2,0,83,16
23,28.7,东南风,1,0,84,18
22,28.7,东南风,2,0,84,18
21,28.8,东北风,1,0,83,22
20,29,东北风,1,0,83,23
19,29.5,南风,2,0,77,26
18,29.8,东南风,2,0,78,26
17,30.2,东南风,3,0,77,26
16,31,东南风,2,0,76,26
15,30.7,东南风,2,0,77,26
